"IE_XML_ID"	"IE_NAME"	"IE_ACTIVE"	"IE_CODE"	"IP_PROP35"	"IP_PROP36"	"IP_PROP37"	"IP_PROP51"	"IP_PROP6"	"IP_PROP8"	"IP_PROP23"	"IP_PROP24"	"IP_PROP25"	"IP_PROP27"	"IP_PROP30"	"IP_PROP42"	"IP_PROP55"	"IC_GROUP0"	"CV_PRICE_1"	"CV_CURRENCY_1"
	"Журнальный стол СОЛАР 381364"	"Y"	381364	60	60	45	39		"black"	"В наличии"	"square"	"nature_pol"	78700	381364	"solar"	"Индонезия"	"Журнальные столы"	78700	"RUB"
	"Журнальный стол СОЛАР 381365"	"Y"	381365	60	60	45	40		"black"	"В наличии"	"square"	"nature_pol"	80700	381365	"solar"	"Индонезия"	"Журнальные столы"	80700	"RUB"
	"Журнальный стол СОЛАР 381366"	"N"	381366	80	80	45	63		"black"	"Под заказ"	"square"	"nature_pol"	127100	381366	"solar"	"Индонезия"	"Большие столы"	127100	"RUB"
	"Журнальный стол СОЛАР 381366"	"N"	381366	80	80	45	63		"black"	"Под заказ"	"square"	"nature_pol"	127100	381366	"solar"	"Индонезия"	"Журнальные столы"	127100	"RUB"
	"Журнальный стол СОЛАР 381367"	"Y"	381367	80	80	45	67		"black"	"В наличии"	"square"	"nature_pol"	135200	381367	"solar"	"Индонезия"	"Большие столы"	135200	"RUB"
	"Журнальный стол СОЛАР 381367"	"Y"	381367	80	80	45	67		"black"	"В наличии"	"square"	"nature_pol"	135200	381367	"solar"	"Индонезия"	"Журнальные столы"	135200	"RUB"
	"Журнальный стол СОЛАР 381368"	"Y"	381368	80	80	45	69		"black"	"В наличии"	"square"	"nature_pol"	139200	381368	"solar"	"Индонезия"	"Большие столы"	139200	"RUB"
	"Журнальный стол СОЛАР 381368"	"Y"	381368	80	80	45	69		"black"	"В наличии"	"square"	"nature_pol"	139200	381368	"solar"	"Индонезия"	"Журнальные столы"	139200	"RUB"
	"Журнальный стол СОЛАР 381369"	"Y"	381369	80	80	45	62		"black"	"В наличии"	"square"	"nature_pol"	125100	381369	"solar"	"Индонезия"	"Большие столы"	125100	"RUB"
	"Журнальный стол СОЛАР 381369"	"Y"	381369	80	80	45	62		"black"	"В наличии"	"square"	"nature_pol"	125100	381369	"solar"	"Индонезия"	"Журнальные столы"	125100	"RUB"
